ID,Name,RAdeg,DEdeg,gmag,e_gmag,rmag,e_rmag,C3_6,Gmag,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,Noise,EBPRP,ur0,rz0,LC3_6,Lpm,Lplx,LNoise,LEx,Lcol,TotL,Rank,Conf,Ref,valid_gr,g_r,color,radius_arcmin,log_radius
28357,,198.345981,-41.968463,21.879999,0.01,21.57,0.03,1.3,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.903445,999.0,999.0,999.0,999.0,999.0,0.9034,copper,n,,True,0.3099990000000012,0.30999900000000125,147.68494308657517,2.169336219971763
28442,,198.353063,-41.883323,21.49,0.01,20.91,0.01,7.36,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.5799999999999983,0.5799999999999983,149.73740871050995,2.1753303131484767
29751,,198.46125,-41.901772,21.57,0.01,20.93,0.01,11.53,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.6400000000000006,0.6400000000000006,144.95805744326182,2.161242360469845
30628,,198.542269,-41.875088,21.73,0.01,20.559999,0.01,6.79,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,1.1700009999999992,1.1700009999999992,142.57569689096553,2.154045503035759
30977,,198.576465,-41.989937,21.99,0.02,21.030001,0.01,12.69,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.9599989999999998,0.9599989999999998,137.93359129659447,2.139670043827908
31039,,198.582901,-41.900771,21.84,0.01,21.16,0.02,1.15,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.875417,999.0,999.0,999.0,999.0,999.0,0.8754,copper,n,,True,0.6799999999999997,0.6799999999999997,140.23631928420667,2.1468605045151734
31178,,198.597018,-41.685837,21.639999,0.01,20.49,0.01,10.24,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,1.149999000000001,1.149999000000001,146.49410084920288,2.1658201364974854
31814,,198.66207,-41.65393,21.969999,0.02,20.67,0.01,5.99,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,1.2999989999999997,1.2999989999999997,145.1831234232083,2.1619161354401433
31948,,198.674519,-41.630755,21.860001,0.01,21.139999,0.02,1.49,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.931986,999.0,999.0,999.0,999.0,999.0,0.932,copper,n,,True,0.7200020000000009,0.7200020000000009,145.53692001737824,2.1629731797539717
32300,,198.706583,-41.887619,21.969999,0.02,21.030001,0.01,9.07,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.9399980000000028,0.9399980000000028,135.85832387379148,2.1330862522622622
32755,T17-0150,198.750522,-41.668504,21.51,0.01,21.15,0.02,1.14,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.873882,999.0,999.0,999.0,999.0,999.0,0.8739,copper,n,y,True,0.360000000000003,0.360000000000003,141.4484010915547,2.1505980426304823
33075,,198.779238,-41.617447,21.440001,0.01,20.68,0.01,1.79,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.963974,999.0,999.0,999.0,999.0,999.0,0.964,copper,n,,True,0.760000999999999,0.760000999999999,142.2337703290703,2.1530027224579924
33151,,198.783496,-42.744399,21.76,0.02,21.370001,0.04,1.95,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.974533,999.0,999.0,999.0,999.0,999.0,0.9745,copper,n,,True,0.3899990000000031,0.3899990000000031,114.68740631274677,2.0595157311605323
33160,,198.783904,-42.956159,21.92,0.03,21.059999,0.03,1.51,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.934504,999.0,999.0,999.0,999.0,999.0,0.9345,copper,n,,True,0.8600010000000005,0.8600010000000005,113.3472907068543,2.054411143826231
33720,,198.808677,-43.061732,21.25,0.01,20.940001,0.03,1.46,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.929178,999.0,999.0,999.0,999.0,999.0,0.9292,copper,n,,True,0.3099990000000012,0.30999900000000125,112.12998555169538,2.049721766192216
33752,,198.809858,-43.075346,21.950001,0.03,21.08,0.03,5.24,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.870001000000002,0.870001000000002,112.08739806124743,2.049556787794698
33791,,198.811531,-42.820817,21.85,0.03,21.190001,0.04,1.48,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.931152,999.0,999.0,999.0,999.0,999.0,0.9312,copper,n,,True,0.6599990000000027,0.6599990000000027,112.8240897108958,2.0524018382247142
33905,,198.815549,-42.972734,21.629999,0.02,20.950001,0.03,2.07,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.981008,999.0,999.0,999.0,999.0,999.0,0.981,bronze,n,,True,0.6799980000000012,0.6799980000000012,111.9151257106794,2.0488887868746475
33950,,198.817217,-41.620797,21.93,0.01,20.82,0.01,1.23,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.89149,999.0,999.0,999.0,999.0,999.0,0.8915,copper,n,,True,1.1099999999999994,1.1099999999999994,140.7564359997463,2.148468261820164
33964,,198.817891,-42.189301,21.18,0.01,20.219999,0.01,11.56,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.9600009999999984,0.9600009999999983,123.01037414826821,2.089941739450437
33967,,198.817994,-42.781945,21.809999,0.03,21.110001,0.03,1.97,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.976067,999.0,999.0,999.0,999.0,999.0,0.9761,copper,n,,True,0.6999980000000008,0.6999980000000008,112.84706375257669,2.05249026334605
34015,,198.819674,-42.931615,21.17,0.01,20.780001,0.02,12.82,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.3899990000000031,0.3899990000000031,111.86010787009347,2.0486752337957674
34066,,198.821602,-42.816332,21.959999,0.03,21.48,0.05,1.02,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.848336,999.0,999.0,999.0,999.0,999.0,0.8483,copper,n,,True,0.4799989999999994,0.4799989999999994,112.41695459226129,2.050831815953443
34100,,198.82305,-43.098938,21.41,0.02,21.09,0.03,14.83,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.3200000000000003,0.3200000000000003,111.5396700344109,2.047429355392708
34109,,198.823341,-42.99956,21.49,0.02,21.040001,0.03,1.18,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.881496,999.0,999.0,999.0,999.0,999.0,0.8815,copper,n,,True,0.4499989999999982,0.44999899999999826,111.52045872861461,2.047354547185931
34129,,198.824222,-41.99426,21.85,0.01,21.200001,0.02,1.01,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.844894,999.0,999.0,999.0,999.0,999.0,0.8449,copper,n,,True,0.6499990000000011,0.6499990000000011,128.10143674511653,2.107554000681274
34142,,198.824713,-42.254846,21.77,0.01,21.26,0.02,13.39,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.509999999999998,0.509999999999998,121.13881641818851,2.083283326091682
34284,,198.829146,-41.648463,21.82,0.01,20.540001,0.01,7.37,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,1.279999,1.279999,139.32621581688372,2.144032841573992
34524,T17-0186,198.838118,-42.060339,21.719999,0.01,21.129999,0.02,1.19,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.884717,999.0,999.0,999.0,999.0,999.0,0.8847,copper,n,y,True,0.5899999999999999,0.5899999999999999,125.64753394248402,2.0991539692064993
34525,,198.838127,-41.668389,21.950001,0.01,21.190001,0.02,2.17,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.985132,999.0,999.0,999.0,999.0,999.0,0.9851,bronze,n,,True,0.7600000000000016,0.7600000000000016,138.2867948841643,2.1407807109643566
34561,,198.839623,-41.85469,21.77,0.01,21.059999,0.02,1.02,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.84698,999.0,999.0,999.0,999.0,999.0,0.847,copper,n,,True,0.7100009999999983,0.7100009999999983,131.85169728879083,2.12008572471278
34646,,198.843032,-41.694201,21.530001,0.01,20.469999,0.01,8.51,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,1.0600019999999972,1.0600019999999972,137.18914352740074,2.1373197448059
34675,,198.844112,-41.962345,21.92,0.01,20.889999,0.02,13.97,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,1.0300010000000022,1.0300010000000022,128.29062903743335,2.1081949345825164
34749,,198.846586,-42.027902,21.26,0.01,20.559999,0.01,10.79,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.7000010000000003,0.7000010000000003,126.24536771297028,2.1012154516334403
34867,,198.851421,-41.888768,21.549999,0.01,20.559999,0.01,14.83,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.9899999999999984,0.9899999999999984,130.30791723409365,2.114970803330554
35147,,198.862017,-41.648492,21.75,0.01,21.309999,0.02,1.44,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.926033,999.0,999.0,999.0,999.0,999.0,0.926,copper,n,,True,0.4400009999999987,0.44000099999999875,138.1511763505966,2.1403545872648198
35223,,198.86489,-41.726131,21.440001,0.01,21.09,0.02,1.96,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.975168,999.0,999.0,999.0,999.0,999.0,0.9752,copper,n,,True,0.3500009999999989,0.3500009999999989,135.27028036379116,2.1312023901542823
35248,,198.865883,-41.705496,21.68,0.01,21.07,0.02,1.68,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.954299,999.0,999.0,999.0,999.0,999.0,0.9543,copper,n,,True,0.6099999999999994,0.6099999999999994,135.96287353621955,2.1334203346969587
35428,,198.872853,-41.637823,21.610001,0.01,21.0,0.01,14.01,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.6100010000000005,0.6100010000000005,138.1558164716357,2.1403691737864436
35499,,198.875318,-41.840506,21.860001,0.01,21.469999,0.02,1.3,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.903414,999.0,999.0,999.0,999.0,999.0,0.9034,copper,n,,True,0.390001999999999,0.39000199999999907,130.98202651064503,2.11721170540552
35547,,198.876746,-41.665268,21.9,0.01,21.459999,0.02,1.52,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.936892,999.0,999.0,999.0,999.0,999.0,0.9369,copper,n,,True,0.4400009999999987,0.44000099999999875,137.01613423656048,2.136771710202677
35636,,198.880347,-41.599228,21.91,0.01,21.23,0.02,1.72,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.957311,999.0,999.0,999.0,999.0,999.0,0.9573,copper,n,,True,0.6799999999999997,0.6799999999999997,139.32049419918883,2.1440150063230923
35883,,198.889065,-41.701586,21.52,0.01,21.110001,0.02,1.76,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.961441,999.0,999.0,999.0,999.0,999.0,0.9614,copper,n,,True,0.4099989999999991,0.4099989999999991,135.26659379493776,2.1311905540116842
35989,,198.892782,-41.747525,21.620001,0.01,20.9,0.01,2.28,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.988717,999.0,999.0,999.0,999.0,999.0,0.9887,bronze,n,,True,0.7200009999999999,0.7200009999999999,133.50679891443446,2.125503382972772
36025,,198.894024,-41.676676,21.85,0.01,21.530001,0.03,1.58,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.94319,999.0,999.0,999.0,999.0,999.0,0.9432,copper,n,,True,0.3199990000000028,0.3199990000000028,135.98552991432285,2.1334926979827005
36290,,198.904906,-41.909432,21.65,0.01,20.35,0.01,7.92,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,1.2999999999999972,1.2999999999999972,127.62615905897681,2.1059396992331223
36332,,198.906318,-41.658968,21.68,0.01,21.15,0.02,1.03,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.848557,999.0,999.0,999.0,999.0,999.0,0.8486,copper,n,,True,0.5300000000000011,0.5300000000000011,136.19289488128206,2.134154451230649
36402,,198.908603,-41.621449,21.530001,0.01,20.68,0.01,12.44,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.8500009999999989,0.8500009999999989,137.49866459577564,2.1382984802644485
36462,,198.911105,-42.192156,21.700001,0.01,21.07,0.02,15.23,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.630001,0.630001,119.18455257922413,2.076219970468475
36633,,198.919398,-42.813132,21.889999,0.03,20.91,0.03,1.75,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.96072,999.0,999.0,999.0,999.0,999.0,0.9607,copper,n,,True,0.9799989999999994,0.9799989999999994,108.17105311984353,2.034111057884684
36869,,198.931293,-42.694549,21.969999,0.03,21.1,0.03,1.77,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.961711,999.0,999.0,999.0,999.0,999.0,0.9617,copper,n,,True,0.869999,0.869999,108.79956081732979,2.0366271422831614
37060,,198.940167,-41.856768,21.959999,0.01,21.200001,0.02,9.63,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.7599979999999995,0.7599979999999995,128.0287903825358,2.1073076422908645
37074,,198.940467,-44.07128,21.889999,0.02,21.08,0.02,2.13,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.983544,999.0,999.0,999.0,999.0,999.0,0.9835,bronze,n,,True,0.8099990000000012,0.8099990000000012,122.89270611434428,2.0895261075545255
37093,,198.941145,-44.050653,21.709999,0.02,21.01,0.02,8.44,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,1.0,bronze,n,,True,0.6999989999999983,0.6999989999999983,122.25185775027724,2.0872554674239927
37209,,198.944703,-43.87587,21.5,0.01,21.09,0.02,1.12,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.870456,999.0,999.0,999.0,999.0,999.0,0.8705,copper,n,,True,0.4100000000000001,0.41000000000000014,117.29115121170338,2.069265248902503
37223,,198.944997,-44.102473,21.99,0.03,21.01,0.02,2.53,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.994414,999.0,999.0,999.0,999.0,999.0,0.9944,bronze,n,,True,0.9799999999999968,0.9799999999999969,123.67347174189864,2.092276552404635
37275,,198.94676,-44.156169,21.65,0.02,20.969999,0.02,1.96,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.975062,999.0,999.0,999.0,999.0,999.0,0.9751,copper,n,,True,0.6800009999999972,0.6800009999999972,125.29266444151237,2.097925644930056
37316,,198.947624,-43.899715,21.6,0.02,21.040001,0.02,1.69,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.954712,999.0,999.0,999.0,999.0,999.0,0.9547,copper,n,,True,0.5599990000000012,0.5599990000000012,117.79274659239496,2.0711185484147134
37346,,198.948554,-44.058093,21.450001,0.01,20.870001,0.02,2.63,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.995775,999.0,999.0,999.0,999.0,999.0,0.9958,bronze,n,,True,0.5800000000000018,0.5800000000000018,122.19557045398359,2.087055463171191
37413,,198.950454,-44.116916,21.450001,0.01,20.73,0.01,3.19,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.999306,999.0,999.0,999.0,999.0,999.0,0.9993,bronze,n,,True,0.7200009999999999,0.7200009999999999,123.91933230395706,2.093139064713317
37438,,198.951168,-44.191244,21.65,0.02,21.18,0.02,2.56,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.994831,999.0,999.0,999.0,999.0,999.0,0.9948,bronze,n,,True,0.4699999999999988,0.46999999999999886,126.26606094516131,2.101286632226106
37444,,198.951422,-43.911551,21.91,0.03,20.91,0.02,2.28,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.988954,999.0,999.0,999.0,999.0,999.0,0.989,bronze,n,,True,1.0,1.0,117.95634877667963,2.0717213209272174
37474,,198.952164,-44.00909,21.99,0.03,20.85,0.01,1.62,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.947709,999.0,999.0,999.0,999.0,999.0,0.9477,copper,n,,True,1.139999999999997,1.139999999999997,120.62298181358832,2.0814300600757503
37538,,198.954245,-44.218331,21.629999,0.02,21.110001,0.02,1.28,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.901077,999.0,999.0,999.0,999.0,999.0,0.9011,copper,n,,True,0.5199980000000011,0.5199980000000011,127.0485568330766,2.103969736186931
