ID,Name,Ref,RAdeg,DEdeg,Rad_arcmin,gmag,rmag,RVel,e_RVel,r_RVel,Notes,TotL,Rank,in_candidate_catalog,selected_085,selected_gold_silver_085,outside_10,valid_r
69900.0,Fluffy,z,199.545349,-44.157249,103.8,19.42,18.73,719.0,6.0,z,,0.992,silver,True,True,True,True,True
154980.0,KK197-01,"p,aa",200.499166,-42.535139,48.37,,,636.0,16.0,aa,,,,False,False,False,True,False
156130.0,KK197-03,"p,aa",200.510634,-42.536913,47.9,21.41,20.75,642.0,3.0,aa,,0.023,silver,True,False,False,True,True
159794.0,H12-556,"w,y,v",200.552063,-42.753072,39.41,21.29,20.63,,,,,0.8793,silver,True,True,True,True,True
160341.0,KKs55-02,ab,200.557787,-42.734733,39.66,,,531.0,15.0,ab,,,,False,False,False,True,False
183480.0,KV19-212,z,200.790878,-43.874443,56.25,18.28,17.53,535.0,2.0,z,1.0,0.9947,gold,True,True,True,True,True
194226.0,32,"i,k,n,o,y",200.9097,-42.773027,25.31,18.86,18.22,497.0,33.0,o,1.0,1.0,gold,True,True,True,True,True
195812.0,C40,"f,g,i,k,n,o,y",200.926424,-43.160459,20.56,19.37,18.64,443.0,48.0,o,,1.0,gold,True,True,True,True,True
196535.0,VHH81-01,"b,c,g,i,n,o,r,s,x,y",200.934075,-43.186591,20.89,18.12,17.38,645.0,10.0,s,3.0,1.0,bronze,True,True,False,True,True
196891.0,GC0563,"r,y",200.937603,-43.01983,18.65,19.67,18.85,533.0,35.0,r,1.0,1.0,gold,True,True,True,True,True
197798.0,GC0564,"r,y",200.947621,-43.071602,18.33,21.25,20.27,357.0,66.0,r,,1.0,silver,True,True,True,True,True
198648.0,pff-gc-001,"g,i,n,o,y",200.956716,-43.242202,21.73,19.38,18.55,702.0,47.0,o,1.0,0.9974,gold,True,True,True,True,True
198996.0,GC0480,"r,y",200.960409,-43.195503,20.11,21.91,21.07,646.0,61.0,r,,1.0,bronze,True,True,False,True,True
200443.0,GC0481,"r,y",200.975773,-43.36572,26.13,22.67,21.65,512.0,84.0,r,,1.0,bronze,True,True,False,True,True
202278.0,GC0010,"n,o,r,y",200.994863,-43.026354,16.13,19.47,18.44,496.0,21.0,r,1.0,1.0,gold,True,True,True,True,True
202555.0,pff-gc-002,"g,i,n,o,r,y",200.997931,-43.291394,22.22,19.97,19.22,652.0,37.0,r,,0.9999,silver,True,True,True,True,True
203990.0,pff-gc-003,"g,i,n,o,y",201.013483,-43.470498,30.32,19.75,19.02,771.0,69.0,o,1.0,0.9968,gold,True,True,True,True,True
204178.0,pff-gc-004,"g,n,o,y",201.015561,-43.598156,37.1,20.38,19.69,634.0,71.0,o,,0.05802,gold,True,False,False,True,True
204289.0,GC0482,"r,y",201.01664,-43.288983,21.54,22.63,21.84,599.0,105.0,r,,1.0,bronze,True,True,False,True,True
206709.0,GC0483,"r,y",201.041147,-43.377495,24.96,21.88,20.95,756.0,37.0,r,,1.0,bronze,True,True,False,True,True
207128.0,GC0018,"n,o,r,y",201.045682,-43.214673,17.62,21.05,20.16,439.0,118.0,r,,0.9868,silver,True,True,True,True,True
207137.0,GC0484,"r,y",201.045773,-43.204387,17.24,21.66,20.74,498.0,22.0,r,,0.8535,silver,True,True,True,True,True
208280.0,GC0485,"r,y",201.057364,-43.092595,13.83,21.03,20.22,388.0,20.0,r,,,,False,False,False,True,True
209945.0,HHH86-28,"c,g,i,n,o,y",201.075249,-42.816931,18.11,18.91,18.23,499.0,48.0,o,1.0,1.0,gold,True,True,True,True,True
210278.0,pff-gc-005,"g,i,n,o,r,y",201.078809,-43.241715,17.61,20.74,19.96,749.0,32.0,r,,1.0,bronze,True,True,False,True,True
210501.0,GC0486,"r,y",201.081075,-42.908749,14.45,19.98,19.18,554.0,11.0,r,,0.9988,silver,True,True,True,True,True
210609.0,GC0567,"r,y",201.082151,-42.845484,16.7,20.67,19.83,189.0,34.0,r,,0.9979,silver,True,True,True,True,True
210967.0,GC0487,"r,y",201.085888,-43.135539,13.57,21.0,20.11,576.0,16.0,r,,1.0,bronze,True,True,False,True,True
211291.0,22,"i,j,k,n,o,r,y",201.089224,-43.043612,12.0,18.42,17.77,596.0,17.0,r,,0.9979,silver,True,True,True,True,True
212144.0,pff-gc-006,"g,i,k,n,o,r,y",201.09876,-43.131146,12.95,19.55,18.95,613.0,16.0,r,,0.9966,silver,True,True,True,True,True
212348.0,pff-gc-007,"g,i,k,n,o,r,y",201.100639,-42.905691,13.82,20.62,19.77,616.0,25.0,r,,1.0,bronze,True,True,False,True,True
212887.0,GC0025,"n,o,y",201.106457,-43.359846,22.55,19.82,18.87,835.0,83.0,o,,1.0,silver,True,True,True,True,True
213445.0,C111,"l,n,y",201.112386,-43.288872,18.82,21.89,21.3,,,,,1.0,bronze,True,True,False,True,True
213535.0,GC0488,"r,y",201.11344,-42.9571,11.85,21.95,21.17,559.0,35.0,r,,1.0,bronze,True,True,False,True,True
213920.0,GC0568,"r,y",201.117472,-43.026789,10.75,20.84,19.98,211.0,16.0,r,,1.0,bronze,True,True,False,True,True
214002.0,GC0028,"n,o,r,x,y",201.118451,-42.96469,11.48,20.5,19.89,558.0,97.0,r,1.0,0.993,gold,True,True,True,True,True
214293.0,pff-gc-008,"g,i,n,o,y",201.121645,-43.365677,22.53,20.34,19.46,520.0,80.0,o,1.0,0.9823,gold,True,True,True,True,True
214298.0,GC0030,"n,o,y",201.121725,-43.143498,12.43,20.78,19.96,600.0,58.0,o,1.0,0.9905,gold,True,True,True,True,True
214408.0,GC0569,"r,y",201.123034,-43.000961,10.68,19.98,19.18,586.0,30.0,r,,0.02297,gold,True,False,False,True,True
214478.0,122,"i,n,o,r,x,y",201.123775,-43.03513,10.46,20.49,19.79,595.0,202.0,r,1.0,0.9962,gold,True,True,True,True,True
215088.0,pff-gc-009,"g,i,k,n,o,r,y",201.130543,-43.190781,13.85,20.11,19.47,734.0,25.0,r,,0.9997,silver,True,True,True,True,True
215446.0,81,"i,j,n,o,r,y",201.134014,-43.182469,13.41,19.85,19.19,775.0,32.0,r,,0.9997,gold,True,True,True,True,True
,C112,"l,n,y",201.136129,-43.313556,19.5,22.15,21.37,,,,,,,False,False,False,True,True
216007.0,N12,"k,r,y",201.140128,-43.200433,13.96,21.01,20.35,546.0,9.0,r,,0.9958,silver,True,True,True,True,True
216619.0,GC0570,"r,y",201.146403,-42.966532,10.3,20.36,19.7,297.0,21.0,r,,1.0,silver,True,True,True,True,True
217309.0,pff-gc-011,"g,i,l,n,o,r,y",201.153593,-43.32116,19.52,19.33,18.63,570.0,31.0,r,1.0,1.0,gold,True,True,True,True,True
217335.0,GC0571,"r,y",201.154018,-43.308833,18.86,20.85,19.96,926.0,44.0,r,1.0,0.9781,gold,True,True,True,True,True
217458.0,GC0572,"r,u,y",201.155638,-43.10869,10.12,21.19,20.38,183.0,49.0,r,,0.7625,silver,True,False,False,True,True
217604.0,C113,"l,n,r,y",201.157332,-43.274018,16.99,19.89,19.19,212.0,10.0,r,,1.0,gold,True,True,True,True,True
,pff-gc-012,"g,i,n,u,y",201.161475,-43.107393,9.86,19.99,19.12,573.0,21.0,n,,,,False,False,False,False,True
218050.0,C41,"f,g,h,m,n,o,r,s,x,y",201.162394,-43.335105,20.09,19.01,18.13,361.0,10.0,s,,0.6618,gold,True,False,False,True,True
218585.0,HHH86-29,"c,f,g,h,i,l,m,n,o,r,s,x,y",201.168272,-43.301452,18.18,18.54,17.52,724.0,10.0,s,1.0,1.0,gold,True,True,True,True,True
218589.0,pff-gc-013,"g,n,o,y",201.168363,-43.584691,34.13,19.31,18.49,839.0,63.0,o,1.0,1.0,gold,True,True,True,True,True
218609.0,C114,"l,n,u,y",201.168625,-42.893092,11.98,,,,,,,,,False,False,False,True,False
,GC0445,"q,r,u,y",201.168823,-43.032416,8.49,21.05,20.27,325.0,29.0,r,,,,False,False,False,False,True
218650.0,51,"i,j,k,n,o,r,y",201.169159,-43.221638,14.1,19.53,18.54,699.0,17.0,r,1.0,1.0,gold,True,True,True,True,True
218734.0,GC0573,"r,y",201.170052,-42.683759,22.63,19.22,18.36,517.0,25.0,r,,0.05278,gold,True,False,False,True,True
,pff-gc-014,"g,i,n,o,u,y",201.171003,-42.996765,8.69,20.67,19.93,718.0,59.0,o,,,,False,False,False,False,True
,pff-gc-015,"g,i,n,o,q,r,u,y",201.171622,-43.029332,8.37,19.52,18.89,518.0,18.0,r,,,,False,False,False,False,True
219001.0,192,"i,k,r,y",201.172963,-43.214762,13.67,21.12,20.49,506.0,41.0,r,,0.9945,silver,True,True,True,True,True
219354.0,GC0417,"r,u,x,y",201.176668,-42.863608,13.06,19.94,19.32,634.0,26.0,r,,0.2983,gold,True,False,False,True,True
219834.0,pff-gc-016,"g,i,l,n,o,r,u,x,y",201.181621,-42.885316,11.92,20.34,19.54,509.0,15.0,r,1.0,0.9993,gold,True,True,True,True,True
,pff-gc-017,"g,i,n,q,u,y",201.181749,-42.9712,8.77,19.89,19.26,442.0,53.0,q,,,,False,False,False,False,True
,GC0574,"r,y",201.184424,-42.981737,8.41,21.33,20.54,512.0,30.0,r,,,,False,False,False,False,True
,75,"i,j,n,q,r,x,y",201.185778,-43.046455,7.78,19.48,18.7,718.0,16.0,r,,,,False,False,False,False,True
,154,"i,r,u,x,y",201.186576,-43.109231,8.94,20.67,19.8,374.0,30.0,r,,,,False,False,False,False,True
,GC0052,"n,o,q,u,x,y",201.188934,-42.992625,8.0,19.55,19.17,276.0,59.0,o,,,,False,False,False,False,True
,GC0053,"n,o,q,r,u,x,y",201.190671,-43.040134,7.54,20.45,19.55,503.0,17.0,r,,,,False,False,False,False,True
,HGHH-G19,"d,f,g,i,n,o,r,u,x,y",201.193521,-43.069882,7.72,19.46,18.85,712.0,20.0,r,,,,False,False,False,False,True
,HGHH-9,"d,g,i,n,u,y",201.194589,-43.021772,7.4,19.3,18.67,501.0,21.0,n,,,,False,False,False,False,True
,pff-gc-018,"g,i,j,n,o,q,r,u,y",201.196174,-43.100463,8.32,19.47,18.55,528.0,12.0,r,,,,False,False,False,False,True
,HGHH-G277,"d,f,g,i,n,o,q,u,y",201.197348,-42.974939,8.05,19.5,18.83,714.0,31.0,q,,,,False,False,False,False,True
,91,"i,j,n,o,u,x,y",201.197365,-42.964193,8.35,20.22,19.4,666.0,56.0,o,,,,False,False,False,False,True
221332.0,GC0490,"r,u,y",201.197524,-43.166604,10.76,21.31,20.47,568.0,22.0,r,,0.9759,silver,True,True,True,True,True
221399.0,GC0059,"n,o,r,y",201.19829,-43.18015,11.35,20.05,19.36,344.0,37.0,r,1.0,0.9998,gold,True,True,True,True,True
,HHH86-10,"c,g,i,j,n,o,r,u,y",201.200161,-43.137276,9.45,18.88,18.13,786.0,18.0,r,,,,False,False,False,False,True
221785.0,119,"i,l,n,r,u,y",201.202982,-42.876508,11.74,20.32,19.71,509.0,59.0,r,,0.9997,silver,True,True,True,True,True
,pff-gc-019,"g,i,n,q,r,u,y",201.203999,-42.963438,8.13,19.36,18.74,611.0,17.0,r,,,,False,False,False,False,True
,148,"i,n,o,r,u,y",201.205708,-43.138235,9.3,20.69,20.02,567.0,76.0,r,,,,False,False,False,False,True
,163,"i,n,o,r,u,x,y",201.208654,-43.126716,8.75,20.71,20.28,594.0,36.0,r,,,,False,False,False,False,True
,GC0446,"q,r,u,y",201.21027,-43.080846,7.25,20.29,19.37,370.0,20.0,r,,,,False,False,False,False,True
,pff-gc-020,"g,i,n,q,x,y",201.210296,-42.996933,7.03,19.84,19.21,250.0,48.0,q,,,,False,False,False,False,True
,HGHH-42,"d,g,i,n,o,r,u,y",201.211895,-43.023016,6.63,19.35,18.51,550.0,10.0,r,,,,False,False,False,False,True
,GC0447,q,201.212047,-42.999608,6.9,21.57,20.99,607.0,77.0,q,,,,False,False,False,False,True
222849.0,HHH86-2,"c,f,g,h,i,j,n,o,r,y",201.214509,-43.203093,12.05,18.82,18.13,624.0,13.0,r,,0.02843,gold,True,False,False,True,True
,C100,f,201.215833,-43.076028,6.91,,,,,,,,,False,False,False,False,False
,HGHH-G302,"d,f,g,i,n,q,r,u,y",201.221996,-43.076318,6.67,19.59,18.94,485.0,23.0,r,,,,False,False,False,False,True
